feature,source_section,requirement_text,verification_objective,test_idea,coverage,priority
General AXI protocol rule,A4.7,A Subordinate must ensure that it provides the responses to two requests to different regions with the same transaction ID in the correct order.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.7,Ax REGION must only be present on an interface that is downstream of an address decode function.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A5.2,"The following rules apply to the unique ID indicators: • When AWIDUNQ is asserted, there must be no outstanding write transactions from this Manager with the same AWID value.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.2,• A Manager must not issue a write request with the same AWID as an outstanding write transaction that had AWIDUNQ asserted.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A5.2,"• If AWIDUNQ is deasserted for a request, the corresponding BIDUNQ signal must be deasserted in a single transfer response or the Completion part of a multi-transfer response.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A5.2,"• If AWIDUNQ is asserted for a request, the corresponding BIDUNQ signal must be asserted in a single transfer response or the Completion part of a multi-transfer response.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A5.2,"• When ARIDUNQ is asserted, there must be no outstanding read transactions from this Manager with the same ARID value.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A5.2,• A Manager must not issue a read request with the same ARID as an outstanding read transaction that had ARIDUNQ asserted.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A5.2,"• If ARIDUNQ is deasserted for a request, the corresponding RIDUNQ signal must be deasserted for all response transfers for that transaction.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A5.2,"• If ARIDUNQ is asserted for a request, the corresponding RIDUNQ signal must be asserted for all response transfers for that transaction.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A5.2,"Unique ID indicator • For an Atomic transaction that includes read and write responses, additional rules apply: – If AWIDUNQ is deasserted for an Atomic request, the corresponding RIDUNQ signal must be deasserted for all response transfers for that transaction.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A5.2,"– If AWIDUNQ is asserted for an Atomic request, the corresponding RIDUNQ signal must be asserted for all response transfers for that transaction.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A5.3,"The ordering model does not give any ordering guarantees between: • Transactions from different Managers • Read and write transactions • Transactions with different IDs • Transactions to different Peripheral regions • Transactions to different Memory locations If a Manager requires ordering between transactions that have no ordering guarantee, the Manager must wait to receive a response to the first transaction before issuing the second transaction.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"Observability guarantees before a completion response is received All of the following guarantees apply to transactions from the same Manager using the same ID: • A Device write DW1 is guaranteed to arrive at the destination before Device write DW2, where DW2 is issued after DW1 and to the same Peripheral region.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A5.3,"• A Device read DR1 is guaranteed to arrive at the destination before Device read DR2, where DR2 is issued after DR1 and to the same Peripheral region.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A5.3,"Request ordering • A write W1 is guaranteed to be observed by a write W2, where W2 is issued after W1 and both have the same cacheability and Memory location.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"• A write W1 that has been observed by a read R2 is guaranteed to be observed by a read R3, where R3 is issued after R2 and have the same cacheability and Memory location.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"• For a Bufferable write request, the completion response can be sent from an intermediate point.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A5.3,"Response ordering guarantees Transaction responses have all the following ordering guarantees: • A read R1 is guaranteed to receive a response before the response to a read R2, where R2 is issued from the same Manager after R1 with the same ID.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A5.3,"• A write W1 is guaranteed to receive a response before the response to a write W2, where W2 is issued from the same Manager after W1 with the same ID.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"Memory locations For transactions with the same cacheability and Memory location: • A write W1 must be ordered before a write W2 with the same ID, where W2 is received after W1 is received.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"• A write W1 must be ordered before a write W2, where W2 is received after the completion response for W1 is given.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"• A write W1 must be ordered before a read R2, where R2 is received after the completion response for W1 is given.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"• A read R1 must be ordered before a write W2, where W2 is received after the completion response for R1 is given.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A5.3,"Request ordering Response ordering requirements • The response to read R1 must be returned before the response to a read R2, where R2 is received after R1 with the same ID.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A5.3,"• The response to write W1 must be returned before the response to a write W2, where W2 is received after W1 with the same ID.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A5.3,"When the interconnect issues requests or responses, it must adhere to the following requirements: • A read R1 request must be issued before a read R2 request, where R2 is received after R1, with the same ID and to the same or overlapping locations.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A5.3,"• A write W1 request must be issued before a write W2 request, where W2 is received after W1, with the same ID, to the same or overlapping locations.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A5.3,"• A Device read DR1 request must be issued before a Device read DR2 request, where DR2 is received after DR1, with the same ID and to the same Peripheral region.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A5.3,"• A Device write DW1 request must be issued before a Device write DW2 request, where DW2 is received after DW1, with the same ID and to the same Peripheral region.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A5.3,"• A read R1 response must be issued before a read R2 response, where R2 is received after R1, with the same ID.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A5.3,"• A write W1 response must be issued before a write W2 response, where W2 is received after W1, with the same ID.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A5.3,The intermediate component issuing an early response must ensure that visibility and ordering guarantees are met.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A5.3,"An intermediate component must observe ID ordering rules, which means a read response can only be sent if all earlier reads with the same ID have already had a response.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A5.3,"If the intermediate component sends an early write response, the intermediate component can store a local copy of the data, but must propagate the transaction downstream, before discarding that data.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"An intermediate component must observe ID ordering rules, which means a write response can only be sent if all earlier writes with the same ID have already had a response.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"Request ordering After sending an early write response, the component must be responsible for ordering and observability of that transaction until the write has been propagated downstream, and a write response is received.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.3,"During the period between sending the early write response and receiving a response from downstream, the component must ensure that: • If an early write response was given for a Normal transaction, all subsequent transactions to the same or overlapping Memory locations are ordered after the write that has had an early response.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A5.3,"Responses must be in order for transactions with the same AXI ID, irrespective of cacheability.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A5.3,"An interface that exhibits Ordered Write Observation gives guarantees for write transactions that are not dependent on the destination or address: • A write W1 is guaranteed to be observed by a write W2, where W2 is issued after W1, from the same Manager, with the same ID.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.5,Write data and response ordering A5.5 Write data and response ordering A Manager must issue write data in the same order that it issues the transaction requests.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.5,0 1 2 3 4 5 6 7 8 9 10 ACLK AWVALID AWID[1:0] ID0 ID1 ID2 AWRP[1:0] RP0 RP1 RP0 WVALID WRP[1:0] RP1 RP0 RP1 RP0 RP0 RP1 Figure A5.1: Example of a write data ordering with two Resource Planes A Subordinate must ensure that the BID value of a write response matches the AWID value of the request to which it is responding.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A5.5,An interconnect must ensure that write responses from a sequence of transactions with the same AWID value targeting different Subordinates are received by the Manager in request order.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A5.6,Read data ordering A5.6 Read data ordering The Subordinate must ensure that the RID value of any returned data matches the ARID value of the request to which it is responding.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A5.6,The interconnect must ensure that read data from a sequence of transactions with the same ARID value targeting different Subordinates are received by the Manager in request order.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A5.6,Some AXI Manager and interconnect components can be more efficiently designed if it is determined at design-time whether the attached Subordinate interface will interleave read data from different transactions.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A5.6,All Managers that issue transactions with different IDs must be designed to accept interleaved data.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A5.6,It must be the same for every response of the transaction.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A6.1,What must be ensured is that no Manager can ever observe a partially updated form of the atomic data.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A6.2,This must ensure that all coherent cached copies of a location are invalidated before the new value of the location is made visible to any agents.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A6.3,A Manager must not start the write part of an exclusive access sequence until the read part is complete.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A6.3,"A6.3.3 Exclusive access restrictions The following restrictions apply to exclusive accesses: • The address of an exclusive access must be aligned to the total number of bytes in the transaction, that is, the product of Size and Length.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A6.3,"• The number of bytes to be transferred in an exclusive access transaction must be a power-of-2, that is, 1, 2, 4, 8, 16, 32, 64, or 128 bytes.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A6.3,• The Length of an exclusive access must not exceed 16 transfers.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A6.3,• The Opcode must be Read Exclusive or Write Exclusive.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A6.3,"For an exclusive sequence to be successful, the Ax CACHE values must be appropriate to ensure that the read and write requests reach the exclusive access monitor.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A6.3,Table A6.5: Signals that should be the same in an exclusive sequence Ax ID Ax ADDR Ax REGION Ax SUBSYSID Ax DOMAIN Ax LEN Ax SIZE Ax BURST Ax LOCK Ax CACHE[1:0] Ax PROT Ax NSE Ax PAS Ax INST Ax PRIV Ax SNOOP Ax MMUVALID Ax MMUATST Ax MMUFLOW Ax MMUPASUNKNOWN Ax MMUPM Ax MMUSECSID Ax MMUSID Ax MMUSSID Ax MMUSSIDV A6.3.4 Exclusive access from the perspective of the Subordinate A Subordinate that supports exclusive access must have monitor hardware.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A6.3,"If it is, then this indicates that no write has occurred to that location since the exclusive read access, and the exclusive write proceeds, completing the exclusive access.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A6.3,"If the monitor deems the sequence to have failed, the exclusive write must not update the addressed location, and the Subordinate must return the OKAY response instead of the EXOKAY response.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A6.4,Atomic transactions are suited to situations where the data is located a significant distance from the agent that must perform the operation.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A6.4,"Compared with using exclusive accesses, this approach reduces the amount of time during which the data must be made inaccessible to other agents in the system.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A6.4,"• If AWLEN indicates a transaction length greater than one, AWSIZE is required to be the full data channel width.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A6.4,"• Write strobes that are not within the data window, as specified by AWADDR and AWSIZE, must be deasserted.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A6.4,• Write strobes within the data window must be asserted.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A6.4,• AWADDR must be aligned to the total write data size.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A6.4,• AWADDR must be aligned to half the total write data size.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A6.4,– AWADDR is not required to be aligned to the transfer size.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A7.1,"If any of the following properties are not False, AWSNOOP_WIDTH must be 5: • Write Deferrable_Transaction • Unstash Translation_Transaction • Invalidate Hint_Transaction If any of the following properties are not False, AWSNOOP_WIDTH must be 4 or 5: • Shareable_Cache_Support • Write No Snoop Full_Transaction • CMO_On_Write • Write Zero_Transaction • Cache_Stash_Transactions • Untranslated_Transactions • Prefetch_Transaction If any of the following properties are not False, ARSNOOP_WIDTH must be 4: • Shareable_Cache_Support • De Allocation_Transactions ARM IHI 0022 Issue L Copyright © 2003-2025 Arm Limited or its affiliates.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A7.2,"0b00110 NSH, SH CMO CMO_On_Write A data-less request which indicates that a cache maintenance operation must be performed.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A7.2,AWSNOOP encodings Table A7.3 – Continued from previous page AWSNOOP AWDOMAIN1 Opcode Enable Description 0b01000 SH Write Unique Ptl Stash Shareable_Transactions and Cache_Stash_Transactions Write to a Shareable location with an indication that the data should be allocated into a cache.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A7.2,0b01001 SH Write Unique Full Stash Shareable_Transactions and Cache_Stash_Transactions Cache line sized and Regular write to a Shareable location with an indication that the data should be allocated into a cache.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A7.2,"0b01010 NSH, SH Write Ptl CMO Write_Plus_CMO Write where any cached copies of the line must be cleaned and/or invalidated according to the AWCMO signal.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A7.2,"0b01011 NSH, SH Write Full CMO Write_Plus_CMO Cache line sized and Regular write where any cached copies of the line must be cleaned and/or invalidated according to the AWCMO signal.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A7.2,"0b01100 NSH, SH Stash Once Shared Cache_Stash_Transactions A data-less request which indicates that a cache line should be fetched into a cache.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A7.2,Other copies of the line are not required to be invalidated.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A7.2,"0b01101 NSH, SH Stash Once Unique Cache_Stash_Transactions A data-less request which indicates that a cache line should be fetched into a cache.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A7.2,"0b01110 NSH, SH, SYS Stash Translation Untranslated_Transactions and Cache_Stash_Transactions A data-less request which indicates that a translation should be cached in an MMU.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A7.2,"0b01111 NSH, SH Prefetch Prefetch_Transaction A data-less request which indicates that a Manager might read the addressed cache line at a later time.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A7.3,SH Read Once Shareable_Transactions Read from a Shareable location which the Manager will not cache.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A7.3,Data must not be Dirty.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A7.3,0b0011 - RESERVED - - 0b0100 SH Read Once Clean Invalid Shareable_Transactions and De Allocation_Transactions Read from a Shareable location which the Manager will not cache.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A7.3,0b0101 SH Read Once Make Invalid Shareable_Transactions and De Allocation_Transactions Read from a Shareable location which the Manager will not cache.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A8.1,I/O coherent agents can share data with fully coherent agents but any data that is cached locally to them must be manually maintained to ensure coherency.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.1,Non-coherent agents must use manual cache maintenance on any data that is shared with other agents and cached locally.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.2,"For any interfaces carrying cache line sized transactions, the data width must be wide enough to transport a cache line using 16 transfers or fewer.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A8.2,Table A8.2: Opcodes which must be cache line sized and Regular Transactions on the read channels Transactions on the write channels Read Shared Write No Snoop Full Read Clean Write Unique Full Clean Shared Write Back Full Clean Invalid Write Evict Full Make Invalid CMO Clean Shared Persist Write Zero Read No Snoop with MTE Fetch Write Unique Full Stash Write Full CMO Stash Once Shared Stash Once Unique Prefetch Invalidate Hint Cache line sized transactions have the following constraints: • Size x Length must be equal to the cache line size.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A8.2,• Transactions with write data must have all byte strobes asserted within the cache line container.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A8.3,"Cache coherency and Domains A8.3 Cache coherency and Domains When multiple Managers share data, writes from those Managers must be coherent.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A8.3,There must be a consistent definition of: • Which address locations are in each Domain.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.3,A8.3.1 System Domain Address locations in the System Domain must be visible to all Managers that are able to access them.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.3,A8.3.2 Non-shareable Domain Address locations in the Non-shareable Domain are not required to be visible to other Managers.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A8.3,"If Non-shareable data is to be shared between Managers, then transactions known as Cache Maintenance Operations (CMOs) must be issued to clean and invalidate the data from any local caches before it is read.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A8.3,A8.3.3 Shareable Domain Address locations in the Shareable Domain must be visible to all other Managers that also have those locations marked as Shareable.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.3,Requests with the Shareable attribute must snoop local caches and lookup in caches that might contain Shareable data from other Managers.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.3,"To avoid a loss of coherency, data cached as Non-shareable must be made visible using CMOs before being accessed by an agent that has the location marked as Shareable.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A8.4,"I/O coherency A8.4 I/O coherency An I/O coherent Manager can read and write data in the Sharable Domain through use of a coherent interconnect but it cannot be snooped, so it must not cache Shareable data.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A8.4,"AXI does not support data snooping, so the coherent interconnect will typically be based on the AMBA CHI protocol [5] with AXI interfaces for connecting I/O coherent Managers.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A8.4,"When the data is returned, it must not be cached by the I/O coherent Manager because the data can become stale.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A8.5,Table A8.8: Rules for caching Shareable lines Opcode Domain Cache state Clean Dirty Shareable Clean Shareable Dirty Read* Non-shareable Permitted to hit Permitted to hit Must not hit Permitted to hit1 Shareable Permitted to hit Must hit Permitted to hit Must hit2 Write* Non-shareable Must hit Must hit Must not hit Permitted to hit1 Shareable Must hit Must hit Must hit Must hit Clean Shared* Non-shareable Permitted to hit Must hit Permitted to hit Permitted to hit3 Shareable Permitted to hit Must hit Permitted to hit Must hit Clean Invalid* / Make Invalid Non-shareable Must hit Must hit Permitted to hit3 Permitted to hit3 Shareable Must hit Must hit Must hit Must hit Invalidate Hint / Prefetch Non-shareable Permitted to hit Permitted to hit Permitted to hit Permitted to hit Shareable Permitted to hit Permitted to hit Permitted to hit Permitted to hit Stash Once* Non-shareable Permitted to hit Permitted to hit Must not hit Permitted to hit Shareable Permitted to hit Permitted to hit Permitted to hit Permitted to hit ∗Includes all variants of the Opcode.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A8.5,"If Outer Cacheable mode is used by attached CPUs, transactions marked in the page tables as Inner Non-cacheable, Outer Cacheable will not use shareable read and write transactions and it is not expected that cache lines will be allocated as Shareable.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A8.5,For write transactions all write strobes must be asserted.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A8.5,The read data must be Clean.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A8.5,"If the data is Dirty, the line must be allocated upstream, and the response for all transfers of read data must be OKAYDIRTY instead of OKAY.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A8.5,"For the same reason, data from a Write Evict Full must not update memory.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
